Comment,Designator,Footprint,LCSC,Quantity
100nF,"C3,C4",C_0402_1005Metric,C1525,2
10uF,"C1,C2",C_0402_1005Metric,C15525,2
0R,"R10,R9",R_0402_1005Metric,C17168,2
Red LED,D1,LED_0603_1608Metric,C2286,1
Blue LED,D2,LED_0603_1608Metric,C2288,1
220R,"R7,R8",R_0402_1005Metric,C25091,2
10K,"R1,R11,R2,R3,R4",R_0402_1005Metric,C25744,5
5.1K,"R5,R6",R_0402_1005Metric,C25905,2
USB_C_Receptacle_USB2.0_16P,P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
ESP32-S2-MINI-2,U2,ESP32S2MINI2N4,C3013908,1
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
RESET,"SW1,SW2",Xunpu_TS-1088-AR02016,C720477,2
2N7002,"Q1,Q2",SOT-23,C8545,2
USB_A,J3,USB_A_PLUG_JING,C9739,1
