Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,14.05,-25.7,-90.0,top
C2,10uF,C_0402_1005Metric,7.75,-17.7,90.0,top
C3,100nF,C_0402_1005Metric,20.4,-2.5,90.0,top
C4,100nF,C_0402_1005Metric,2.0,-1.85,90.0,top
D1,Red LED,LED_0603_1608Metric,1.75,-11.1,90.0,top
D2,Blue LED,LED_0603_1608Metric,1.75,-8.05,90.0,top
J3,USB_A,USB_A_PLUG_JING,11.55,-30.4125,180.0,top
P1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,18.16,-22.1,90.0,top
Q1,2N7002,SOT-23,2.5,-30.95,180.0,top
Q2,2N7002,SOT-23,2.5,-27.1,180.0,top
R1,10K,R_0402_1005Metric,8.7,-17.7,90.0,top
R10,0R,R_0402_1005Metric,13.1,-17.675,-90.0,top
R11,10K,R_0402_1005Metric,14.05,-17.675,-90.0,top
R2,10K,R_0402_1005Metric,9.65,-17.7,90.0,top
R3,10K,R_0402_1005Metric,5.8,-26.5,-90.0,top
R4,10K,R_0402_1005Metric,4.85,-26.5,-90.0,top
R5,5.1K,R_0402_1005Metric,14.05,-23.85,-90.0,top
R6,5.1K,R_0402_1005Metric,14.05,-19.9,-90.0,top
R7,220R,R_0402_1005Metric,2.0,-3.7,90.0,top
R8,220R,R_0402_1005Metric,2.0,-5.6,-90.0,top
R9,0R,R_0402_1005Metric,12.15,-17.685,-90.0,top
SW1,RESET,Xunpu_TS-1088-AR02016,3.45,-21.9,0.0,top
SW2,BOOT,Xunpu_TS-1088-AR02016,3.45,-18.5,0.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,9.95,-23.05,270.0,top
U2,ESP32-S2-MINI-2,ESP32S2MINI2N4,11.2,-8.0,0.0,top
